category,title,description,resource,region,statusWord,message
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,me-south-1,OK,Region is not enabled
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,me-central-1,OK,No ACM certificates found
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-southeast-3,OK,Region is not enabled
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-south-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-southeast-4,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-south-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-central-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,il-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ca-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-east-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-east-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-west-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-west-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,af-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-east-1,OK,Region is not enabled
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-south-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-3,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ca-central-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-central-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-3,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-north-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-south-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-2,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,sa-east-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,me-south-1,OK,Region is not enabled
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,me-central-1,OK,No ACM certificates found
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-3,OK,Region is not enabled
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-south-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-4,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-south-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-central-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,il-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ca-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-east-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-east-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-west-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,us-west-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,af-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-east-1,OK,Region is not enabled
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-south-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-northeast-3,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ca-central-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-central-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-west-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-west-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-west-3,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-north-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-south-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-northeast-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-northeast-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-southeast-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-southeast-2,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,sa-east-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,me-south-1,OK,Region is not enabled
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,me-central-1,OK,No ACM certificates found
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-southeast-3,OK,Region is not enabled
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-south-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ap-southeast-4,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-south-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,eu-central-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,il-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Has Tags,Ensure that ACM Certificates have tags associated.,N/A,ca-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-east-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-east-2,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-west-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-west-2,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,af-south-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-east-1,OK,Region is not enabled
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-south-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-northeast-3,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ca-central-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-central-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-2,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-3,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-north-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-south-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-northeast-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-northeast-2,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-southeast-1,OK,No App Mesh meshes found
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-southeast-2,OK,No App Mesh meshes found
